Cropping_situation;Crop;Asso_pure;Site;Year;Yields;N_fertilization_rate;Sowing_date;Sowing_density;PAWC;Soil_N_organic;Interrang;tot_rainfall;veg_rainfall;rep_rainfall;critical_rainfall;nb_days_60;nb_days_0;max_days_0
Sene_milt_2004_N2;Millet;pure;Senegal;2004;1.92633;40;230;1.23;191.250;0.03;1.3;291.3;283.5;7.8;29.8;1;60;15
Sene_milt_2004_N3;Millet;pure;Senegal;2004;2.08507;60;230;1.23;191.250;0.03;1.3;291.3;283.5;7.8;29.8;1;60;15
Sene_milt_2004_N4;Millet;pure;Senegal;2004;2.08515;80;230;1.23;191.250;0.03;1.3;291.3;283.5;7.8;29.8;1;60;15
Sene_milt_2004_N5;Millet;pure;Senegal;2004;2.08521;100;230;1.23;191.250;0.03;1.3;291.3;283.5;7.8;29.8;1;60;15
Sene_milt_2004_N6;Millet;pure;Senegal;2004;2.08526;120;230;1.23;191.250;0.03;1.3;291.3;283.5;7.8;29.8;1;60;15
Sene_milt_2004_N7;Millet;pure;Senegal;2004;2.0853;140;230;1.23;191.250;0.03;1.3;291.3;283.5;7.8;29.8;1;60;15
Sene_milt_2004_N8;Millet;pure;Senegal;2004;2.08534;160;230;1.23;191.250;0.03;1.3;291.3;283.5;7.8;29.8;1;60;15
Sene_milt_2004_N9;Millet;pure;Senegal;2004;2.08536;180;230;1.23;191.250;0.03;1.3;291.3;283.5;7.8;29.8;1;60;15
Sene_milt_2005_N0;Millet;pure;Senegal;2005;1.35188;0;230;1.23;191.250;0.03;1.3;311.7;296.9;14.8;41.2;1;56;12
Sene_milt_2005_N1;Millet;pure;Senegal;2005;1.5834;20;230;1.23;191.250;0.03;1.3;311.7;296.9;14.8;41.2;1;56;12
Sene_milt_2005_N2;Millet;pure;Senegal;2005;1.8018;40;230;1.23;191.250;0.03;1.3;311.7;296.9;14.8;41.2;1;56;12
Sene_milt_2005_N3;Millet;pure;Senegal;2005;1.97063;60;230;1.23;191.250;0.03;1.3;311.7;296.9;14.8;41.2;1;56;12
Sene_milt_2005_N4;Millet;pure;Senegal;2005;1.97093;80;230;1.23;191.250;0.03;1.3;311.7;296.9;14.8;41.2;1;56;12
Sene_milt_2005_N5;Millet;pure;Senegal;2005;1.97103;100;230;1.23;191.250;0.03;1.3;311.7;296.9;14.8;41.2;1;56;12
Sene_milt_2005_N6;Millet;pure;Senegal;2005;1.97107;120;230;1.23;191.250;0.03;1.3;311.7;296.9;14.8;41.2;1;56;12
Sene_milt_2005_N7;Millet;pure;Senegal;2005;1.97111;140;230;1.23;191.250;0.03;1.3;311.7;296.9;14.8;41.2;1;56;12
Sene_milt_2005_N8;Millet;pure;Senegal;2005;1.97115;160;230;1.23;191.250;0.03;1.3;311.7;296.9;14.8;41.2;1;56;12
Sene_milt_2005_N9;Millet;pure;Senegal;2005;1.97144;180;230;1.23;191.250;0.03;1.3;311.7;296.9;14.8;41.2;1;56;12
Sene_milt_2006_N0;Millet;pure;Senegal;2006;1.25551;0;230;1.23;191.250;0.03;1.3;297.4;282.3;15.1;44.6;1;59;21
Sene_milt_2006_N1;Millet;pure;Senegal;2006;1.50186;20;230;1.23;191.250;0.03;1.3;297.4;282.3;15.1;44.6;1;59;21
Sene_milt_2006_N2;Millet;pure;Senegal;2006;1.74059;40;230;1.23;191.250;0.03;1.3;297.4;282.3;15.1;44.6;1;59;21
Sene_milt_2006_N3;Millet;pure;Senegal;2006;1.90354;60;230;1.23;191.250;0.03;1.3;297.4;282.3;15.1;44.6;1;59;21
Sene_milt_2006_N4;Millet;pure;Senegal;2006;1.90366;80;230;1.23;191.250;0.03;1.3;297.4;282.3;15.1;44.6;1;59;21
Sene_milt_2006_N5;Millet;pure;Senegal;2006;1.90375;100;230;1.23;191.250;0.03;1.3;297.4;282.3;15.1;44.6;1;59;21
Sene_milt_2006_N6;Millet;pure;Senegal;2006;1.90383;120;230;1.23;191.250;0.03;1.3;297.4;282.3;15.1;44.6;1;59;21
Sene_milt_2006_N7;Millet;pure;Senegal;2006;1.9039;140;230;1.23;191.250;0.03;1.3;297.4;282.3;15.1;44.6;1;59;21
Sene_milt_2006_N8;Millet;pure;Senegal;2006;1.90396;160;230;1.23;191.250;0.03;1.3;297.4;282.3;15.1;44.6;1;59;21
Sene_milt_2006_N9;Millet;pure;Senegal;2006;1.90401;180;230;1.23;191.250;0.03;1.3;297.4;282.3;15.1;44.6;1;59;21
Sene_milt_2007_N0;Millet;pure;Senegal;2007;1.3712;0;230;1.23;191.250;0.03;1.3;223.7;223.7;0;20.2;0;62;38
Sene_milt_2007_N1;Millet;pure;Senegal;2007;1.61596;20;230;1.23;191.250;0.03;1.3;223.7;223.7;0;20.2;0;62;38
Sene_milt_2007_N2;Millet;pure;Senegal;2007;1.84529;40;230;1.23;191.250;0.03;1.3;223.7;223.7;0;20.2;0;62;38
Sene_milt_2007_N3;Millet;pure;Senegal;2007;2.04822;60;230;1.23;191.250;0.03;1.3;223.7;223.7;0;20.2;0;62;38
Sene_milt_2007_N4;Millet;pure;Senegal;2007;2.1435;80;230;1.23;191.250;0.03;1.3;223.7;223.7;0;20.2;0;62;38
Sene_milt_2007_N5;Millet;pure;Senegal;2007;2.14356;100;230;1.23;191.250;0.03;1.3;223.7;223.7;0;20.2;0;62;38
Sene_milt_2007_N6;Millet;pure;Senegal;2007;2.1436;120;230;1.23;191.250;0.03;1.3;223.7;223.7;0;20.2;0;62;38
Sene_milt_2007_N7;Millet;pure;Senegal;2007;2.14364;140;230;1.23;191.250;0.03;1.3;223.7;223.7;0;20.2;0;62;38
Sene_milt_2007_N8;Millet;pure;Senegal;2007;2.14367;160;230;1.23;191.250;0.03;1.3;223.7;223.7;0;20.2;0;62;38
Sene_milt_2007_N9;Millet;pure;Senegal;2007;2.1437;180;230;1.23;191.250;0.03;1.3;223.7;223.7;0;20.2;0;62;38
